state,district,cyber_a_offences_under_itact_tampering_computer_source_documents_sec65,cyber_computer_related_offences_computer_related_offences_total_col5col8col9col10col11,cyber_computer_related_offences_sec66,cyber_col_5,cyber_col_6,cyber_dishonestly_receiving_stolen_computer_resource_or_communication_device_sec66b,cyber_identity_theft_sec66c,cyber_cheating_by_personation_by_using_computer_resource_sec66d,cyber_violation_of_privacy_sec66e,cyber_cyber_terrorism_sec66_f,cyber_publicationtransmission_of_obscene_sexually_explicit_act_in_electronic_form_sec_67_publication_transmission_of_obscene_sexually_explicit_act_in_electronic_form_total_col1415161718,cyber_publishing_or_transmitting_obscene_material_in_electronic_form,cyber_publishing_or_transmitting_of_material_containing_sexually_explicit_act_in_electronic_form_sec67a,cyber_publishing_or_transmitting_of_material_depicting_children_in_sexually_explicit_act_in_electronic_form_sec67b,cyber_preservation_and_retention_of_information_by_intermediaries_sec67c,cyber_other_sections_67_it_act,cyber_inter_ception_or_monitoring_or_decryption_of_information_sec69,cyber_un_authorized_accessattempt_to_access_to_protected_computer_system_sec70,cyber_breach_of_confidentiality_and_privacy,cyber_publication_of_electronic_signatures_for_fraudulent_purposes,cyber_abetment_to_commit_offences_sec84_b,cyber_attempt_to_commit_offences_sec84c,cyber_other_sections_of_it_act,cyber_total_offences_under_it_act_col3col4col12col13col19col20col21col22col23col24col25,cyber_b_offences_under_ipcbns_involving_communication_devices_as_mediumtarget_rw_it_act_abetment_of_suicide_online_section_107108_bns_section_305306_ipc,cyber_cyber_stalking_bullying_of_women_children_section_78_bns_section_354d_ipc,cyber_sexual_intercourse_by_deceitful_means_section_69_bns,cyber_organized_cyber_crimes_section_111_bns,cyber_publishing_false_or_misleading_information_of_india_section_1971d_bns,cyber_data_theft_section_303305_307_bns_section_379_381_ipc,cyber_fraud_sec420_rw_sec465468_471_ipc_fraud_section_3184_rw_section_33623434012_bns_section_420_rw_465468_471_ipc_total_col34_to_42,cyber_credit_card_debit_card,cyber_atms,cyber_online_banking_fraud,cyber_otp_frauds,cyber_gaming_app_website_fraud,cyber_marketing_investment_fraud,cyber_fraud_call_vishing,cyber_e_wallet_upi_fraud,cyber_other_frauds,cyber_cheating_section_3184_bns_section_420_ipc,cyber_forgery_section_338336343402339_bns,cyber_defamation_morphing_section_3364_bns_section_469_ipc_rw_indecent_representation_of_women_act,cyber_fake_profile_319_2_bns_section_section_419_ipc,cyber_counterfeiting_counter_feiting_total_col48_col49,cyber_currency_section_178_182_section_489a_to_489e_ipc,cyber_stamps_section_178_181183_186_section_255_ipc,cyber_cyber_blackmailingthreatening_section_35112_3308_bns_section_506503384_ipc_rw_bnssll,cyber_fake_news_on_social_media_section_353_bns_section_505_ipc,cyber_other_offences_of_bnsipc_rw_it_act,cyber_total_offences_under_ipcbns_rw_it_act_col_27_to_3343_to_47_50_to_52,cyber_c_offences_under_sll_involving_communication_devices_as_mediumtarget_rw_it_act_gambling_act_online_gambling,cyber_lotteries_act_online_lotteries,cyber_copy_right_act_1957,cyber_trade_marks_act_1999,cyber_other_sll_crimes,cyber_total_offences_under_sll_rw_it_act_total_of_col54_to_58,cyber_total_cyber_crimes_abc
Andhra Pradesh,Kakinada,0,1,0,0,0,0,0,1,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,15
Andhra Pradesh,Krishna,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,65,3,0,2,10,0,17,0,0,33,0,0,0,0,0,0,0,2,15,9,97,0,0,0,0,0,0,101
Andhra Pradesh,Kurnool,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,63
Andhra Pradesh,Nandyal,0,30,0,0,0,0,1,28,1,0,22,0,3,3,1,15,0,0,0,0,0,0,0,52,0,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,93
Andhra Pradesh,Ntr,0,6,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,14,4,0,7,3,0,0,0,0,0,157,1,0,0,0,0,0,0,73,25,280,0,0,0,0,0,0,286
Andhra Pradesh,Palnadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,6,47,74,0,0,0,0,0,0,74
Andhra Pradesh,Parvathipuram Manyam,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,15,0,38,0,0,0,0,0,0,39
Andhra Pradesh,Prakasam,0,5,0,0,0,0,0,0,5,0,2,0,0,0,0,2,0,0,0,0,0,0,0,7,0,5,0,0,0,0,26,2,0,3,5,0,16,0,0,0,27,4,0,0,0,0,0,0,0,24,86,0,0,0,0,0,0,93
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,1,0,2,0,0,0,0,0,0,52,2,0,0,0,0,0,0,17,7,84,0,0,0,0,0,0,93
Andhra Pradesh,Sri Sathya Sai,0,3,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,1,0,0,31,0,0,0,5,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,0,0,39
Andhra Pradesh,Srikakulam,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,20,7,62,0,0,0,0,0,0,65
Andhra Pradesh,Tirupati,0,61,0,0,0,3,1,56,1,0,10,3,5,0,2,0,0,0,0,0,0,0,28,99,0,6,0,0,0,0,145,23,22,84,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,153,0,0,0,0,0,0,252
Andhra Pradesh,Viiayawada Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Andhra Pradesh,Visakhapatnam,0,7,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,45,0,6,0,0,29,23,0,0,0,0,0,0,0,6,274,1,0,0,0,0,0,3,10,9,377,1,0,0,0,0,1,386
Andhra Pradesh,Vizianagaram,0,30,0,0,0,0,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,0,0,3,0,2,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,12,8,81,0,0,0,0,0,0,112
Andhra Pradesh,West Godavari,1,63,0,0,0,0,13,45,5,0,11,11,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Andhra Pradesh,Ysr,0,18,0,0,0,0,0,18,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Changlang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Crime Branch,0,69,0,0,0,0,2,65,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Subansiri Lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Subansiri Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Namsai,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kamle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kra Dadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Leparada,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Arunachal Pradesh,Shiyomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Pakkessang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Bieo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Barpeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Assam,Baksa,0,6,1,0,1,3,0,2,0,0,11,2,5,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Assam,Bongaigaon,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Assam,Cid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Cachar,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Assam,Chirang,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Assam,Darrang,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Assam,Dhemaji,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Assam,Dhubri,0,2,1,0,1,0,1,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Assam,Dibrugarh,0,7,0,0,0,0,2,5,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Assam,Grp,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Assam,Goalpara,0,4,0,0,0,0,2,1,1,0,9,0,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Assam,Golaghat,0,7,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Assam,Guwahati City,0,19,3,0,3,0,8,5,3,1,25,12,12,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Assam,Hailakandi,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Assam,Hamren,0,3,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Assam,Jorhat,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Assam,Kamrup,0,9,2,0,2,7,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Assam,Karbi Anglong,0,4,0,0,0,0,1,1,2,0,10,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Assam,Karimganj,0,5,1,0,1,0,2,1,1,0,18,16,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Assam,Kokrajhar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Assam,Lakhimpur,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Assam,Morigaon,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Assam,Dima Hasao,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Assam,Nagaon,0,10,3,0,3,0,2,3,2,0,6,3,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Assam,Nalbari,0,8,0,0,0,2,2,1,3,0,11,4,0,0,0,7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
